# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=876692233
# chain_id=4
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=/home/kendal/Documents/phd/henrik/ddm_in_stan/fits/temp_chains/chain_data_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b_a.1,b_a.2,b_ndt.1,b_ndt.2,b_w.1,b_w.2,Intercept_sv,b_sv_Intercept
352.764,0.214846,0.373392,3,8,1,-348.344,-0.352281,0.11524,3.22916,-0.575622,0.763327,-0.341101,-1.75821,0.0263435,0.0389581,-0.0162185,-0.848167,-0.848167
353.768,0.968715,0.0589659,6,95,0,-345.897,-0.350846,-0.026452,3.2435,-0.509635,0.759976,-0.340269,-1.75583,0.0222983,0.0330089,0.0797332,-0.880786,-0.880786
352.713,0.942406,0.101581,4,31,0,-345.109,-0.341533,0.0262595,3.24022,-0.542736,0.771944,-0.351553,-1.76317,0.0311753,0.0396873,0.0477558,-0.877642,-0.877642
353.593,0.863652,0.161326,3,15,0,-345.736,-0.315128,0.01819,3.23578,-0.54252,0.761464,-0.352233,-1.75895,0.0250422,0.0132083,0.0615552,-0.865368,-0.865368
351.369,0.858526,0.200203,4,15,0,-345.505,-0.38575,0.00476207,3.24147,-0.6351,0.758809,-0.357866,-1.75181,0.0184286,0.0441991,0.0289385,-0.880862,-0.880862
350.454,0.770682,0.244528,3,7,0,-349.189,-0.388376,0.00344277,3.24056,-0.642973,0.758746,-0.358656,-1.75612,0.0171973,0.0473846,0.0272673,-0.855155,-0.855155
352.946,0.710287,0.227747,3,15,0,-345.215,-0.353381,0.0499714,3.21506,-0.563816,0.76299,-0.347301,-1.7607,0.0251934,0.0472907,0.0487779,-0.937425,-0.937425
352.991,0.925152,0.17683,4,15,0,-349.803,-0.351728,0.0172519,3.24503,-0.580305,0.762716,-0.336687,-1.75902,0.0226497,0.0325791,0.0282872,-0.809601,-0.809601
351.629,0.864924,0.264642,3,7,0,-346.886,-0.368089,0.0162075,3.25003,-0.486455,0.764232,-0.347324,-1.75565,0.0169949,0.0538382,0.0677119,-0.839241,-0.839241
354.418,0.34042,0.328673,3,8,1,-346.789,-0.360083,0.00806458,3.26044,-0.491,0.760614,-0.34458,-1.75598,0.0234231,0.0359807,0.0539786,-0.897262,-0.897262
355.432,0.903935,0.0852098,5,63,0,-349.303,-0.370787,0.0126144,3.24907,-0.560789,0.769279,-0.352585,-1.75832,0.0247887,0.0515566,0.0425678,-0.783011,-0.783011
350.16,0.947154,0.119616,4,15,0,-347.227,-0.383941,0.0297786,3.33343,-0.612114,0.769893,-0.358896,-1.75446,0.0213371,0.0433765,0.0442601,-0.869842,-0.869842
353.468,0.851598,0.189623,3,15,0,-345.458,-0.383988,0.0564424,3.31486,-0.556274,0.782443,-0.35245,-1.75983,0.0246249,0.057905,0.0242267,-0.662824,-0.662824
355.525,0.121838,0.226027,3,15,1,-348.882,-0.365551,0.0464583,3.27742,-0.600991,0.768566,-0.354099,-1.75722,0.0271425,0.0326547,0.0238748,-0.753642,-0.753642
353.841,0.99797,0.0328053,5,31,0,-350.645,-0.369894,0.0331339,3.25912,-0.642057,0.767003,-0.352772,-1.75374,0.02024,0.0488485,0.0275239,-0.716195,-0.716195
